,participant,video_id,actual_category,watched_video,valence_x,arousal_x,intensity,category,Filename,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Confusion,Contempt,Craving,Disappointment,Disgust,Empathic Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Nostalgia,Pride,Relief,Romance,Sadness,Satisfaction,Sexual Desire,Surprise,Sympathy,Triumph,approach,arousal_y,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence_y,a surge of pride,abhorrence,admiration,adoration,adrenaline rush,aesthetic appreciation,affection,aggression,agitation,agony,alarm,alertness,alienation,amazement,amused elation,amused embarrassment,amusement,anger,angry contempt,angry disgust,angry pain,angry surprise,anguish,animosity,annoyance,anticipation,anxiety,apathy,appreciation,arousal.1,astonishment,attentiveness,attraction,awe,awestruck realization,awestruck surprise,awkwardness,bafflement,basking,befuddlement,bewilderment,bitterness,bliss,blushing,boiling with anger,boldness,bone-chilling terror,boredom,brotherly love,butterflies in stomach,calmness,camaraderie,captivation,caring,caution,certainty.1,challenge,charm,cheer,cheerfulness,childlike curiosity,chills down spine,choking up,chuckling,cold sweats,comfort,commitment to someone,compassion,concentration,concern,confidence,confusion,contemplation,contemplative interest,contempt,contemptuous doubt,contentment,courage,crankiness,craving,cringing,crying,crying tears of joy,curiosity,cynicism,dark humor,daze,dedication,deep concentration,deep contemplation,deep focus,deep relief,defeat,defensiveness,defiance,dejection,delight,demoralization,depression,desire,desire to approach,desire to avoid,desolation,despair,desperation,despising someone,despondency,detachment,determination,detestation,devastation,devotion,disagreement,disappointment,disapproval,disbelief,discomfort,discontentment,discouragement,disdain,disenchantment,disgrace,disgruntlement,disgust,disgusted contempt,disgusted surprise,dishonor,disillusionment,disinterest,dislike,dismay,displeasure,dissatisfaction,distaste,distraction,distress,distressful confusion,distressful sympathy,distrust,divine inspiration,dizziness,dominance.1,doubt,dread,drowsiness,dumbfoundedness,eagerness,earnestness,ecstasy,ecstatic desire,edginess,egotism,elation,elevation,embarrassed relief,embarrassment,empathic pain,empowerment,emptiness,enchantment,enjoyment,enthusiasm,entrancement,envy,epiphany,euphoria,excitement,exhaustion,exhilaration,existential dread,expectancy,extreme anger,extreme awe,extreme disappointment,extreme disgust,extreme distress,extreme doubt,extreme embarrassment,extreme fear,extreme happiness,extreme interest,extreme pleasure,extreme sadness,extreme shame,extreme surprise,exuberance,fascination,fatigue,fear,fear of missing out,fearful anger,fearful awe,fearful disgust,fearful surprise,fearlessness,feeling absorbed,feeling active,feeling alone,feeling anguished,feeling antipathy,feeling appalled,feeling appreciated,feeling apprehensive,feeling at ease,feeling attacked,feeling bashful,feeling belittled,feeling betrayed,feeling bittersweet,feeling blameworthy,feeling blue,feeling bored to tears,feeling burdened,feeling caged,feeling cheated,feeling competitive,feeling cool,feeling coy,feeling creeped out,feeling crushed,feeling daring,feeling deceived,feeling delirious,feeling disheartened,feeling disinhibited,feeling disoriented,feeling distraught,feeling dominant,feeling downhearted,feeling dreamy,feeling dreary,feeling dull,feeling dumb,feeling emasculated,feeling empty,feeling energetic,feeling engaged,feeling engrossed,feeling excluded,feeling fearless,feeling fidgety,feeling flirtatious,feeling flustered,feeling foggy,feeling free,feeling grossed out,feeling heartened,feeling hollow,feeling horny,feeling hurt,feeling ignored,feeling important,feeling impressed,feeling in control,feeling inhibited,feeling inquisitive,feeling insecure,feeling insulted,feeling intimidated,feeling intrigued,feeling invincible,feeling irritable,feeling isolated,feeling jaded,feeling jittery,feeling lazy,feeling let down,feeling liberated,feeling lively,feeling lost,feeling loved,feeling mad,feeling mischievous,feeling mortified,feeling naughty,feeling obstructed,feeling offended,feeling oppressed,feeling out of place,feeling overjoyed,feeling overwhelmed,feeling perplexed,feeling petrified,feeling pissed off,feeling powerful,feeling pumped,feeling ready,feeling reassured,feeling refreshed,feeling repentant,feeling revitalized,feeling safe,feeling satiated,feeling scared,feeling secretive,feeling sexy,feeling shaky,feeling silly,feeling small,feeling smart,feeling sorry,feeling startled,feeling stimulated,feeling strong,feeling stuck,feeling stunned,feeling subdued,feeling taken aback,feeling threatened,feeling thwarted,feeling timid,feeling torn,feeling trapped,feeling tricked,feeling unappreciated,feeling unobstructed,feeling unready,feeling unsafe,feeling uplifted,feeling upset,feeling used,feeling valued,feeling violated,feeling vulnerable,feeling weak,feeling worn out,fierce loyalty,flinching,focus,fondness,forgiveness,freezing with terror,frustration,fulfillment,fuming,fury,giddiness,giddy anticipation,giggling,gladness,glee,gloating,gloom,glory,going ballistic,goosebumps,gratification,gratitude,great triumph,grief,grimacing,grit,grouchiness,grudging respect,grumpiness,guilt,guilty joy,guilty pleasure,happiness,happy disgust,happy surprise,hate,hatred,having fun,heart sinking,heartache,heartbreak,heavenly bliss,helplessness,hesitancy,hesitation,high spirits,honor,hope,hopelessness,horror,hostility,humiliation,humor,hunger,hysterical laughter,ill temper,impatience,inadequacy,indecision,indifference,indignation,inferiority,insight,inspiration,intense desire,interest,interested confusion,intimacy,invigoration,irony,irritation,jealousy,joking,joy,lack of focus,laughter,lightheadedness,loathing,loneliness,longing,love,loving sympathy,low spirits,loyalty,lust,marveling,maternal love,melancholy,mild joy,misery,mistrust,moral repugnance,mournfulness,mystification,nausea,nervous breakdown,nervous laughter,nervousness,nirvana,nonchalance,nostalgia,not feeling in control,numbness,optimism,orgasm,out-of-body experience,outrage,overexcitement,pain,panic,panic attack,paranoia,passion,patriotism,peacefulness,pensiveness,perseverance,pessimism,pity,playfulness,pleasant surprise,pleasure,pondering,powerlessness,pride,pride in country,pride in family,pride in self,profound disapproval,puzzlement,queasiness,rage,rapture,realization,redemption,regret,rejuvenation,relaxation,releasing tension,relief,relieved contentment,relishing,reluctance,reminiscence,remorse,repugnance,resentment,resignation,respect,restlessness,reverence,revulsion,righteous indignation,romance,romantic jealousy,romantic love,rumination,sad anger,sad disgust,sad fear,sad surprise,sadness,sarcasm,satiation of hunger,satiation of thirst,satisfaction,savoring,scorn,seething hatred,self-anger,self-confidence,self-consciousness,self-disgust,self-dissatisfaction,self-doubt,self-loathing,self-love,self-pity,sense of agreement,sense of belonging,sense of failure,sense of fairness,sense of flourishing,sense of improvement,sense of inertia,sense of injustice,sense of justice,sense of mystery,sense of narrow escape,sense of security,sense of unfairness,sensory pleasure,serenity,severe pain,sexual arousal,sexual desire,sexual frustration,sexual gratification,sexual tension,shame,sheepishness,shock,shuddering,shyness,skepticism,sleepiness,sluggishness,smiling,smugness,snarkiness,sneering contempt,social anxiety,solidarity,sorrow,spiritual epiphany,spite,strain,stress,stupor,submissiveness,suffering,sulkiness,sullenness,superiority,surprise,suspicion,sympathy,tearing up laughing,tenderness,tension,terror,thankfulness,thirst,thoughtfulness,thrill,tiredness,torment,torture,tranquility,transcendence,trauma,treasuring the moment,trembling with fear,triumph,triumphant amusement,triumphant anger,trust,turmoil,uncertainty,unease,unhappiness,unspeakable horror,urge to attack,urge to be creative,urge to escape,urge to explore,urge to provide care,urge to provide help,utter contempt,utter despair,utter disbelief,vengefulness,vigor,vindication,vitality,vulnerability,warmth,weakness,weariness,wonder,worry,wrath,yearning,zeal
0,38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Anger_5_0733,anger,0733.mp4,3,4,5,sadness,0733.mp4,0.0,0.0,0.0,0.0,0.42857,0.071429,0.0,0.0,0.071429,0.071429,0.071429,0.071429,0.0,0.071429,0.071429,0.0,0.0,0.0,0.0,0.21429,0.0,0.0,0.0,0.071429,0.0,0.0,0.0,0.0,0.21429,0.0,0.0,0.071429,0.0,0.0,3.2222,5.5556,5.6667,4.8889,3.0,4.2222,4.8889,4.0,3.0,3.8889,4.5556,3.6667,3.8889,3.8889,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.11111,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,599a5dac-f796-4c05-b742-60b8216e51e7,Anger_13_1026,anger,1026.mp4,3,4,5,sadness,1026.mp4,0.0,0.0,0.0,0.0,0.36364,0.36364,0.090909,0.0,0.0,0.0,0.090909,0.0,0.0,0.090909,0.27273,0.18182,0.0,0.0,0.0,0.45455,0.090909,0.63636,0.0,0.0,0.18182,0.0,0.0,0.0,0.36364,0.0,0.0,0.0,0.0,0.0,1.2222,5.8889,6.0,5.3333,5.3333,1.5556,3.6667,6.6667,1.8889,5.6667,4.7778,1.7778,1.8889,1.4444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222,0.0,0.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.11111,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7c6628b8-d21b-401e-a4e3-3c8ca010cde2,Anger_0_1310,anger,1310.mp4,1,5,6,sadness,1310.mp4,0.0,0.0,0.0,0.0,0.54545,0.0,0.0,0.0,0.0,0.0,0.090909,0.090909,0.0,0.090909,0.63636,0.090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090909,0.0,0.0,0.090909,0.0,0.0,2.4444,6.3333,5.4444,4.1111,4.5556,3.3333,3.7778,6.7778,3.0,4.8889,5.0,3.1111,2.2222,1.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.11111,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222,0.0,0.22222,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,a6603533-c9c3-4962-a724-73d9cb94ebb6,Anger_15_1260,anger,1260.mp4,2,6,6,sadness,1260.mp4,0.0,0.0,0.0,0.0,0.36364,0.090909,0.0,0.0,0.0,0.0,0.18182,0.0,0.0,0.090909,0.36364,0.0,0.0,0.0,0.090909,0.27273,0.0,0.090909,0.0,0.0,0.0,0.090909,0.0,0.0,0.45455,0.0,0.0,0.090909,0.18182,0.0,2.7778,6.7778,8.0,4.4444,5.6667,2.7778,5.7778,4.7778,2.1111,5.5556,4.6667,2.5556,2.5556,2.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.0,0.22222,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
