participant,video,frame_rate
0882d888-639f-40ee-9967-a03bd261ade8,Anger_12_0595,29.723756906077345
0882d888-639f-40ee-9967-a03bd261ade8,Anger_7_0414,29.735099337748345
0882d888-639f-40ee-9967-a03bd261ade8,Anger_8_0971,29.375
0882d888-639f-40ee-9967-a03bd261ade8,Disgust_0_0187,29.625
0882d888-639f-40ee-9967-a03bd261ade8,Disgust_11_1940,26.506849315068493
0882d888-639f-40ee-9967-a03bd261ade8,Disgust_2_0713,29.717514124293782
0882d888-639f-40ee-9967-a03bd261ade8,Fear_3_0025,29.5
0882d888-639f-40ee-9967-a03bd261ade8,Fear_5_0137,29.375
0882d888-639f-40ee-9967-a03bd261ade8,Fear_6_0687,29.481132075471695
0882d888-639f-40ee-9967-a03bd261ade8,Joy_1_1032,29.625
0882d888-639f-40ee-9967-a03bd261ade8,Joy_5_0380,29.625
0882d888-639f-40ee-9967-a03bd261ade8,Joy_8_1712,29.375
0882d888-639f-40ee-9967-a03bd261ade8,Sadness_12_1587,29.565217391304348
0882d888-639f-40ee-9967-a03bd261ade8,Sadness_3_0975,29.683698296836987
0882d888-639f-40ee-9967-a03bd261ade8,Sadness_8_0226,29.5
0882d888-639f-40ee-9967-a03bd261ade8,Surprise_2_1277,29.50980392156863
0882d888-639f-40ee-9967-a03bd261ade8,Surprise_4_1436,28.125
0882d888-639f-40ee-9967-a03bd261ade8,Surprise_7_1002,29.669260700389103
13a53543-3f09-4793-88d4-b8c7276cf920,Anger_1_0218,21.125
13a53543-3f09-4793-88d4-b8c7276cf920,Anger_2_0681,21.25
13a53543-3f09-4793-88d4-b8c7276cf920,Anger_8_0971,21.125
13a53543-3f09-4793-88d4-b8c7276cf920,Disgust_10_1907,21.322314049586776
13a53543-3f09-4793-88d4-b8c7276cf920,Disgust_1_0235,21.25
13a53543-3f09-4793-88d4-b8c7276cf920,Disgust_7_1425,21.125
13a53543-3f09-4793-88d4-b8c7276cf920,Fear_1_1422,21.247240618101547
13a53543-3f09-4793-88d4-b8c7276cf920,Fear_7_1779,21.16935483870968
13a53543-3f09-4793-88d4-b8c7276cf920,Fear_8_0190,21.125
13a53543-3f09-4793-88d4-b8c7276cf920,Joy_5_0380,21.25
13a53543-3f09-4793-88d4-b8c7276cf920,Joy_6_1953,21.125
13a53543-3f09-4793-88d4-b8c7276cf920,Joy_7_0593,21.166666666666668
13a53543-3f09-4793-88d4-b8c7276cf920,Sadness_15_1485,21.125
13a53543-3f09-4793-88d4-b8c7276cf920,Sadness_2_1259,21.25
13a53543-3f09-4793-88d4-b8c7276cf920,Sadness_9_1164,21.125
13a53543-3f09-4793-88d4-b8c7276cf920,Surprise_0_0509,21.23456790123457
13a53543-3f09-4793-88d4-b8c7276cf920,Surprise_10_1234,21.37126185266229
13a53543-3f09-4793-88d4-b8c7276cf920,Surprise_1_0976,21.125
