participant,frame_rate,frame_rate_rounded
0882d888-639f-40ee-9967-a03bd261ade8,29.317629559375487,29.0
13a53543-3f09-4793-88d4-b8c7276cf920,21.19507810705342,21.0
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,29.90381000348683,30.0
1e36f30d-bb71-4167-9b41-b34a2515aa9e,30.2095512713593,30.0
1e886a54-6e2e-436c-82d3-6dd705a09613,30.057481557080237,30.0
293c2496-0b93-4ddc-b494-70f7e8d0fb55,14.483445089896557,14.0
2bbf5c31-7959-4a58-83be-5ec75281d11b,25.321400796277405,25.0
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,19.53889186752736,20.0
599a5dac-f796-4c05-b742-60b8216e51e7,28.745871751598745,29.0
5fd09851-a593-4bea-80f1-322004743c44,30.418160997872448,30.0
679fd330-2791-4f86-8e63-5b4fb4fb63f3,9.705222887091757,10.0
7c6628b8-d21b-401e-a4e3-3c8ca010cde2,14.845752465154309,15.0
867ccea1-77eb-4ec5-8e52-738f37532499,19.930318495201007,20.0
89c7352d-1a39-42d6-a52b-dacf282cef53,17.86269075403115,18.0
8d4a2a85-e509-4f8e-8934-fea4ae0b2a35,14.893164592949587,15.0
9e53f2ad-f2b0-4bc2-80db-c222ca0194ce,29.659249132347483,30.0
a529030a-ec7c-4c10-a644-a1604f73715e,15.178830283720876,15.0
a6603533-c9c3-4962-a724-73d9cb94ebb6,30.224352329076275,30.0
ac1a342b-1a39-4d7e-b02b-76116e628e0a,24.565195385514855,25.0
affd9da8-4afb-4526-a83c-04cb81c8f212,24.26237811502679,24.0
ba8eda14-8bc8-440a-a715-6e906b3b0a97,28.713449280081136,29.0
d4a311fe-822d-47cd-87bd-9085d7072822,14.929554050741075,15.0
d7671537-ee80-4023-bcb6-44dfea43107d,29.866321331186427,30.0
ed8f7af3-a26a-4a48-a50b-3c343c74da33,15.344383093071448,15.0
