model,frame,axis,value
affectnet7,15,Angry,0.04767520725727081
affectnet7,16,Neutral,0.44745004177093506
affectnet7,16,Happy,0.29792118072509766
affectnet7,16,Sad,0.1956579089164734
affectnet7,16,Surprise,0.0009116557193920016
affectnet7,16,Fear,0.0012012625811621547
affectnet7,16,Disgust,0.005578523501753807
affectnet7,16,Angry,0.0512794628739357
affectnet7,17,Neutral,0.33445659279823303
affectnet7,17,Happy,0.20428144931793213
affectnet7,17,Sad,0.4161831736564636
affectnet7,17,Surprise,0.0011228128569200635
affectnet7,17,Fear,0.0013496755855157971
affectnet7,17,Disgust,0.006561353337019682
affectnet7,17,Angry,0.03604491800069809
affectnet7,18,Neutral,0.3565986454486847
affectnet7,18,Happy,0.2183438390493393
affectnet7,18,Sad,0.3756260871887207
affectnet7,18,Surprise,0.001125889946706593
affectnet7,18,Fear,0.001340482267551124
affectnet7,18,Disgust,0.0067949662916362286
affectnet7,18,Angry,0.04017006233334541
affectnet7,19,Neutral,0.40938010811805725
affectnet7,19,Happy,0.310198038816452
affectnet7,19,Sad,0.21859554946422577
affectnet7,19,Surprise,0.000985644874162972
affectnet7,19,Fear,0.0012537672882899642
affectnet7,19,Disgust,0.0071076019667088985
affectnet7,19,Angry,0.05247928947210312
affectnet7,20,Neutral,0.4340335428714752
affectnet7,20,Happy,0.4034658372402191
affectnet7,20,Sad,0.1028689593076706
affectnet7,20,Surprise,0.0005341534852050245
affectnet7,20,Fear,0.0005373788299039006
affectnet7,20,Disgust,0.0052142515778541565
affectnet7,20,Angry,0.05334581062197685
affectnet7,21,Neutral,0.4241597056388855
affectnet7,21,Happy,0.4500997066497803
affectnet7,21,Sad,0.0737287774682045
affectnet7,21,Surprise,0.0005964722950011492
affectnet7,21,Fear,0.0005458475206978619
affectnet7,21,Disgust,0.00606042193248868
affectnet7,21,Angry,0.04480903968214989
affectnet7,22,Neutral,0.4106265902519226
affectnet7,22,Happy,0.4774395525455475
affectnet7,22,Sad,0.05988413468003273
affectnet7,22,Surprise,0.000485779921291396
affectnet7,22,Fear,0.000461902585811913
affectnet7,22,Disgust,0.005535963922739029
affectnet7,22,Angry,0.045566026121377945
affectnet7,23,Neutral,0.39941421151161194
affectnet7,23,Happy,0.5034735202789307
affectnet7,23,Sad,0.055575892329216
affectnet7,23,Surprise,0.0005596804548986256
affectnet7,23,Fear,0.000518173212185502
affectnet7,23,Disgust,0.0038270512595772743
affectnet7,23,Angry,0.036631446331739426
affectnet7,24,Neutral,0.42860910296440125
affectnet7,24,Happy,0.4669739603996277
affectnet7,24,Sad,0.06195524334907532
affectnet7,24,Surprise,0.0006420279387384653
affectnet7,24,Fear,0.0006124651990830898
affectnet7,24,Disgust,0.003918386995792389
affectnet7,24,Angry,0.037288881838321686
affectnet7,25,Neutral,0.41074320673942566
affectnet7,25,Happy,0.49365875124931335
affectnet7,25,Sad,0.0549350306391716
affectnet7,25,Surprise,0.0005989285418763757
affectnet7,25,Fear,0.0005958094261586666
affectnet7,25,Disgust,0.003964519128203392
affectnet7,25,Angry,0.03550372272729874
affectnet7,26,Neutral,0.4036683440208435
affectnet7,26,Happy,0.4991716146469116
affectnet7,26,Sad,0.05761012062430382
affectnet7,26,Surprise,0.0005981635767966509
affectnet7,26,Fear,0.0006286540883593261
affectnet7,26,Disgust,0.004223781172186136
affectnet7,26,Angry,0.03409934043884277
affectnet7,27,Neutral,0.40976637601852417
affectnet7,27,Happy,0.49347400665283203
affectnet7,27,Sad,0.05750579014420509
affectnet7,27,Surprise,0.0005780279170721769
affectnet7,27,Fear,0.0005926170269958675
affectnet7,27,Disgust,0.0038018114864826202
affectnet7,27,Angry,0.0342814102768898
affectnet7,28,Neutral,0.4142887592315674
affectnet7,28,Happy,0.49320417642593384
affectnet7,28,Sad,0.05704493448138237
affectnet7,28,Surprise,0.0005884279380552471
affectnet7,28,Fear,0.0005711218109354377
affectnet7,28,Disgust,0.0035535478964447975
affectnet7,28,Angry,0.030749090015888214
affectnet7,29,Neutral,0.4134799540042877
affectnet7,29,Happy,0.4385513663291931
affectnet7,29,Sad,0.1108725517988205
affectnet7,29,Surprise,0.000981959979981184
affectnet7,29,Fear,0.0012592080747708678
affectnet7,29,Disgust,0.004182363860309124
affectnet7,29,Angry,0.030672602355480194
affectnet7,30,Neutral,0.39699533581733704
affectnet7,30,Happy,0.4496396780014038
affectnet7,30,Sad,0.11524251848459244
affectnet7,30,Surprise,0.0010602775728330016
affectnet7,30,Fear,0.0014122251886874437
affectnet7,30,Disgust,0.004937591031193733
affectnet7,30,Angry,0.030712448060512543
affectnet7,31,Neutral,0.39633116126060486
affectnet7,31,Happy,0.4636830985546112
affectnet7,31,Sad,0.10297883301973343
affectnet7,31,Surprise,0.0007355959387496114
affectnet7,31,Fear,0.0009707754943519831
affectnet7,31,Disgust,0.00474445940926671
affectnet7,31,Angry,0.030556030571460724
affectnet7,32,Neutral,0.4148038327693939
affectnet7,32,Happy,0.44026729464530945
affectnet7,32,Sad,0.10619135946035385
affectnet7,32,Surprise,0.0007101786322891712
affectnet7,32,Fear,0.0010185897117480636
affectnet7,32,Disgust,0.004406173713505268
affectnet7,32,Angry,0.03260257840156555
affectnet7,33,Neutral,0.42230838537216187
affectnet7,33,Happy,0.4307795763015747
affectnet7,33,Sad,0.1079622134566307
affectnet7,33,Surprise,0.0007406231015920639
affectnet7,33,Fear,0.0010026914533227682
affectnet7,33,Disgust,0.0041729058139026165
affectnet7,33,Angry,0.03303347900509834
affectnet7,34,Neutral,0.41436055302619934
affectnet7,34,Happy,0.44723838567733765
affectnet7,34,Sad,0.10397061705589294
affectnet7,34,Surprise,0.0008300405461341143
affectnet7,34,Fear,0.0010542536620050669
affectnet7,34,Disgust,0.0035516649950295687
affectnet7,34,Angry,0.02899460680782795
affectnet7,35,Neutral,0.40787622332572937
affectnet7,35,Happy,0.4596986770629883
affectnet7,35,Sad,0.10032924264669418
affectnet7,35,Surprise,0.000921010272577405
affectnet7,35,Fear,0.0011342196958139539
affectnet7,35,Disgust,0.0032516384962946177
affectnet7,35,Angry,0.026789026334881783
affectnet7,36,Neutral,0.41872599720954895
affectnet7,36,Happy,0.4582342207431793
affectnet7,36,Sad,0.09253637492656708
affectnet7,36,Surprise,0.0007831444381736219
affectnet7,36,Fear,0.0008469660533592105
affectnet7,36,Disgust,0.00289717479608953
affectnet7,36,Angry,0.025976181030273438
affectnet7,37,Neutral,0.4078068733215332
affectnet7,37,Happy,0.49086993932724
affectnet7,37,Sad,0.07521001994609833
affectnet7,37,Surprise,0.0009274551412090659
affectnet7,37,Fear,0.0008186042541638017
affectnet7,37,Disgust,0.0025884422939270735
affectnet7,37,Angry,0.021778590977191925
affectnet7,38,Neutral,0.3835504949092865
affectnet7,38,Happy,0.516074538230896
affectnet7,38,Sad,0.07615470141172409
affectnet7,38,Surprise,0.0008160875295288861
affectnet7,38,Fear,0.0008629645453765988
affectnet7,38,Disgust,0.002623938489705324
affectnet7,38,Angry,0.01991725154221058
affectnet7,39,Neutral,0.38411158323287964
affectnet7,39,Happy,0.5180322527885437
affectnet7,39,Sad,0.07445136457681656
affectnet7,39,Surprise,0.0008199329022318125
affectnet7,39,Fear,0.0008735934970900416
affectnet7,39,Disgust,0.0023890314623713493
affectnet7,39,Angry,0.01932227425277233
affectnet7,40,Neutral,0.37492290139198303
affectnet7,40,Happy,0.5169820785522461
affectnet7,40,Sad,0.08473648130893707
affectnet7,40,Surprise,0.0008070533513091505
affectnet7,40,Fear,0.0009854395175352693
affectnet7,40,Disgust,0.002563867485150695
affectnet7,40,Angry,0.019002094864845276
affectnet7,41,Neutral,0.3455779552459717
affectnet7,41,Happy,0.5577349662780762
affectnet7,41,Sad,0.07434145361185074
affectnet7,41,Surprise,0.0007567943539470434
affectnet7,41,Fear,0.0008994824602268636
affectnet7,41,Disgust,0.002555459039285779
affectnet7,41,Angry,0.0181338619440794
affectnet7,42,Neutral,0.2934762239456177
affectnet7,42,Happy,0.6483402252197266
affectnet7,42,Sad,0.03785661980509758
affectnet7,42,Surprise,0.00039152265526354313
affectnet7,42,Fear,0.0003878951247315854
affectnet7,42,Disgust,0.002172810025513172
affectnet7,42,Angry,0.017374686896800995
affectnet7,43,Neutral,0.2809414267539978
affectnet7,43,Happy,0.6724007725715637
affectnet7,43,Sad,0.0266660638153553
affectnet7,43,Surprise,0.00040714768692851067
affectnet7,43,Fear,0.00037486301152966917
affectnet7,43,Disgust,0.0020079058595001698
affectnet7,43,Angry,0.017201771959662437
affectnet7,44,Neutral,0.2629932165145874
affectnet7,44,Happy,0.6905096769332886
affectnet7,44,Sad,0.026073133572936058
affectnet7,44,Surprise,0.0004716585681308061
affectnet7,44,Fear,0.00042202742770314217
affectnet7,44,Disgust,0.0023338317405432463
affectnet7,44,Angry,0.017196431756019592
affectnet7,45,Neutral,0.2667132616043091
affectnet7,45,Happy,0.6912685036659241
affectnet7,45,Sad,0.02319406531751156
affectnet7,45,Surprise,0.0004746365302708
affectnet7,45,Fear,0.0003360141417942941
affectnet7,45,Disgust,0.002411438850685954
affectnet7,45,Angry,0.015602117404341698
affectnet7,46,Neutral,0.25592368841171265
affectnet7,46,Happy,0.7037070989608765
affectnet7,46,Sad,0.023405300453305244
affectnet7,46,Surprise,0.0005378880887292325
affectnet7,46,Fear,0.00039652190753258765
affectnet7,46,Disgust,0.002282840432599187
affectnet7,46,Angry,0.013746632263064384
affectnet7,47,Neutral,0.2552785873413086
affectnet7,47,Happy,0.7016446590423584
affectnet7,47,Sad,0.02341979183256626
affectnet7,47,Surprise,0.0004990476300008595
affectnet7,47,Fear,0.000379902427084744
affectnet7,47,Disgust,0.0024238305632025003
affectnet7,47,Angry,0.016354313120245934
affectnet7,48,Neutral,0.22854040563106537
affectnet7,48,Happy,0.7370120882987976
affectnet7,48,Sad,0.018552469089627266
affectnet7,48,Surprise,0.0005773830926045775
affectnet7,48,Fear,0.0003658049972727895
affectnet7,48,Disgust,0.0022175549529492855
affectnet7,48,Angry,0.01273420825600624
affectnet7,49,Neutral,0.20385150611400604
affectnet7,49,Happy,0.7627351880073547
affectnet7,49,Sad,0.01758808270096779
affectnet7,49,Surprise,0.0005188648938201368
affectnet7,49,Fear,0.0003637325717136264
affectnet7,49,Disgust,0.002257665852084756
affectnet7,49,Angry,0.012684943154454231
affectnet7,50,Neutral,0.19138360023498535
affectnet7,50,Happy,0.7796338200569153
affectnet7,50,Sad,0.014650777913630009
affectnet7,50,Surprise,0.0005200880113989115
affectnet7,50,Fear,0.0003192520816810429
affectnet7,50,Disgust,0.0019823568873107433
affectnet7,50,Angry,0.011510033160448074
affectnet7,51,Neutral,0.1682525873184204
affectnet7,51,Happy,0.8046186566352844
affectnet7,51,Sad,0.014457066543400288
affectnet7,51,Surprise,0.00044014910236001015
affectnet7,51,Fear,0.00026674073887988925
affectnet7,51,Disgust,0.0018160922918468714
affectnet7,51,Angry,0.010148707777261734
affectnet7,52,Neutral,0.1398342102766037
affectnet7,52,Happy,0.8395761847496033
affectnet7,52,Sad,0.010723748244345188
affectnet7,52,Surprise,0.0003344155556987971
affectnet7,52,Fear,0.0001845960650825873
affectnet7,52,Disgust,0.0015116772847250104
affectnet7,52,Angry,0.007835171185433865
affectnet7,53,Neutral,0.13163195550441742
affectnet7,53,Happy,0.8456518054008484
affectnet7,53,Sad,0.011567422188818455
affectnet7,53,Surprise,0.0004406078951433301
affectnet7,53,Fear,0.00027047100593335927
affectnet7,53,Disgust,0.0017150597414001822
affectnet7,53,Angry,0.008722647093236446
affectnet7,54,Neutral,0.13091495633125305
affectnet7,54,Happy,0.8430859446525574
affectnet7,54,Sad,0.014239665120840073
affectnet7,54,Surprise,0.00047234052908606827
affectnet7,54,Fear,0.00031033885898068547
affectnet7,54,Disgust,0.0019885937217622995
affectnet7,54,Angry,0.008988097310066223
affectnet7,55,Neutral,0.1312778890132904
affectnet7,55,Happy,0.8297449946403503
affectnet7,55,Sad,0.026204852387309074
affectnet7,55,Surprise,0.0008834913605824113
affectnet7,55,Fear,0.0006852920632809401
affectnet7,55,Disgust,0.002300824737176299
affectnet7,55,Angry,0.008902712725102901
affectnet7,56,Neutral,0.13549895584583282
affectnet7,56,Happy,0.8231692910194397
affectnet7,56,Sad,0.02710137888789177
affectnet7,56,Surprise,0.0008168189669959247
affectnet7,56,Fear,0.0006681595114059746
affectnet7,56,Disgust,0.002367227803915739
affectnet7,56,Angry,0.010378025472164154
affectnet7,57,Neutral,0.14517773687839508
affectnet7,57,Happy,0.8067868947982788
affectnet7,57,Sad,0.03003924898803234
affectnet7,57,Surprise,0.0011064554564654827
affectnet7,57,Fear,0.0010084498208016157
affectnet7,57,Disgust,0.0028508903924375772
affectnet7,57,Angry,0.013030401431024075
affectnet7,58,Neutral,0.14059112966060638
affectnet7,58,Happy,0.8161422610282898
affectnet7,58,Sad,0.027010520920157433
affectnet7,58,Surprise,0.0009749711607582867
affectnet7,58,Fear,0.0007757932180538774
affectnet7,58,Disgust,0.002509572310373187
affectnet7,58,Angry,0.01199574675410986
affectnet7,59,Neutral,0.15718863904476166
affectnet7,59,Happy,0.7849776744842529
affectnet7,59,Sad,0.034885454922914505
affectnet7,59,Surprise,0.0010373771656304598
affectnet7,59,Fear,0.0009349434985779226
affectnet7,59,Disgust,0.003613957902416587
affectnet7,59,Angry,0.017362017184495926
affectnet7,60,Neutral,0.1650555580854416
affectnet7,60,Happy,0.7776656150817871
affectnet7,60,Sad,0.03389962762594223
affectnet7,60,Surprise,0.001410794910043478
affectnet7,60,Fear,0.0010599246015772223
affectnet7,60,Disgust,0.003805970773100853
affectnet7,60,Angry,0.017102591693401337
affectnet7,61,Neutral,0.1684293895959854
affectnet7,61,Happy,0.7788718342781067
affectnet7,61,Sad,0.03172525763511658
affectnet7,61,Surprise,0.001341280061751604
affectnet7,61,Fear,0.000954038870986551
affectnet7,61,Disgust,0.0034086620435118675
affectnet7,61,Angry,0.01526957843452692
affectnet7,62,Neutral,0.14192728698253632
affectnet7,62,Happy,0.8250963091850281
affectnet7,62,Sad,0.015190350823104382
affectnet7,62,Surprise,0.0006566491792909801
affectnet7,62,Fear,0.0003373518993612379
affectnet7,62,Disgust,0.0030790281016379595
affectnet7,62,Angry,0.013712984509766102
affectnet7,63,Neutral,0.12834496796131134
affectnet7,63,Happy,0.8473133444786072
affectnet7,63,Sad,0.010109595954418182
affectnet7,63,Surprise,0.0005135757965035737
affectnet7,63,Fear,0.00023120988043956459
affectnet7,63,Disgust,0.002146010985597968
affectnet7,63,Angry,0.011341375298798084
affectnet7,64,Neutral,0.13377827405929565
affectnet7,64,Happy,0.8400698304176331
affectnet7,64,Sad,0.01025054045021534
affectnet7,64,Surprise,0.0006436509429477155
affectnet7,64,Fear,0.00027399862301535904
affectnet7,64,Disgust,0.0023141433484852314
affectnet7,64,Angry,0.012669635005295277
affectnet7,65,Neutral,0.12911884486675262
affectnet7,65,Happy,0.84764564037323
affectnet7,65,Sad,0.009701353497803211
affectnet7,65,Surprise,0.0006491898093372583
affectnet7,65,Fear,0.0002863258996512741
affectnet7,65,Disgust,0.0020581637509167194
affectnet7,65,Angry,0.010540450923144817
affectnet7,66,Neutral,0.10295034199953079
affectnet7,66,Happy,0.8770973086357117
affectnet7,66,Sad,0.008544480428099632
affectnet7,66,Surprise,0.0006391386850737035
affectnet7,66,Fear,0.0002855377970263362
affectnet7,66,Disgust,0.001916969078592956
affectnet7,66,Angry,0.00856618769466877
affectnet7,67,Neutral,0.0861067920923233
affectnet7,67,Happy,0.898642361164093
affectnet7,67,Sad,0.006852897349745035
affectnet7,67,Surprise,0.00038688883068971336
affectnet7,67,Fear,0.00017381769430357963
affectnet7,67,Disgust,0.0012813255889341235
affectnet7,67,Angry,0.006555784028023481
affectnet7,68,Neutral,0.09188185632228851
affectnet7,68,Happy,0.8912861347198486
affectnet7,68,Sad,0.008749594911932945
affectnet7,68,Surprise,0.0004337150021456182
affectnet7,68,Fear,0.00021049882343504578
affectnet7,68,Disgust,0.0012303577968850732
affectnet7,68,Angry,0.006207821425050497
affectnet7,69,Neutral,0.0653967335820198
affectnet7,69,Happy,0.9230354428291321
affectnet7,69,Sad,0.005857126321643591
affectnet7,69,Surprise,0.0003903220349457115
affectnet7,69,Fear,0.00016908127872738987
affectnet7,69,Disgust,0.0008703093626536429
affectnet7,69,Angry,0.004280992783606052
affectnet7,70,Neutral,0.06692532449960709
affectnet7,70,Happy,0.9199802279472351
affectnet7,70,Sad,0.00675971107557416
affectnet7,70,Surprise,0.00045909188338555396
affectnet7,70,Fear,0.0002073185460176319
affectnet7,70,Disgust,0.0009390207123942673
affectnet7,70,Angry,0.004729286301881075
affectnet7,71,Neutral,0.052637968212366104
affectnet7,71,Happy,0.9379187226295471
affectnet7,71,Sad,0.004739296622574329
affectnet7,71,Surprise,0.0003220166836399585
affectnet7,71,Fear,0.00014220410957932472
affectnet7,71,Disgust,0.0007042041979730129
affectnet7,71,Angry,0.0035355857107788324
affectnet7,72,Neutral,0.048548150807619095
affectnet7,72,Happy,0.9432438611984253
affectnet7,72,Sad,0.004218977876007557
affectnet7,72,Surprise,0.00029503353289328516
affectnet7,72,Fear,0.00012021890870528296
affectnet7,72,Disgust,0.0006265893462114036
affectnet7,72,Angry,0.002947277156636119
affectnet7,73,Neutral,0.06638598442077637
affectnet7,73,Happy,0.921184778213501
affectnet7,73,Sad,0.006579753942787647
affectnet7,73,Surprise,0.0003369884507264942
affectnet7,73,Fear,0.00016413154662586749
affectnet7,73,Disgust,0.0007948818383738399
affectnet7,73,Angry,0.004553589504212141
affectnet7,74,Neutral,0.05454931780695915
affectnet7,74,Happy,0.9343243837356567
affectnet7,74,Sad,0.006138997618108988
affectnet7,74,Surprise,0.00033046703902073205
affectnet7,74,Fear,0.00015835203521419317
affectnet7,74,Disgust,0.0007805920322425663
affectnet7,74,Angry,0.003717894433066249
affectnet7,75,Neutral,0.05322059988975525
affectnet7,75,Happy,0.9362793564796448
affectnet7,75,Sad,0.0054072546772658825
affectnet7,75,Surprise,0.00032417901093140244
affectnet7,75,Fear,0.00014890285092405975
affectnet7,75,Disgust,0.000777092354837805
affectnet7,75,Angry,0.003842740785330534
affectnet7,76,Neutral,0.05244632437825203
affectnet7,76,Happy,0.9365783333778381
affectnet7,76,Sad,0.005697743967175484
affectnet7,76,Surprise,0.0003234954783692956
affectnet7,76,Fear,0.0001563187106512487
affectnet7,76,Disgust,0.0008103754953481257
affectnet7,76,Angry,0.003987389616668224
affectnet7,77,Neutral,0.04809204116463661
affectnet7,77,Happy,0.9426465630531311
affectnet7,77,Sad,0.004481304436922073
affectnet7,77,Surprise,0.0003375014348421246
affectnet7,77,Fear,0.00015713208995293826
affectnet7,77,Disgust,0.0007516404148191214
affectnet7,77,Angry,0.003533911658450961
affectnet7,78,Neutral,0.042307909578084946
affectnet7,78,Happy,0.9493303894996643
affectnet7,78,Sad,0.004091649316251278
affectnet7,78,Surprise,0.00034498670720495284
affectnet7,78,Fear,0.00015123827324714512
affectnet7,78,Disgust,0.0006905435002408922
affectnet7,78,Angry,0.0030834455974400043
affectnet7,79,Neutral,0.042587585747241974
affectnet7,79,Happy,0.9492478966712952
affectnet7,79,Sad,0.003947563003748655
affectnet7,79,Surprise,0.0002961047866847366
affectnet7,79,Fear,0.00013493177539203316
affectnet7,79,Disgust,0.0006621365901082754
affectnet7,79,Angry,0.0031239185482263565
affectnet7,80,Neutral,0.04133325442671776
affectnet7,80,Happy,0.9509757161140442
affectnet7,80,Sad,0.0038433976005762815
affectnet7,80,Surprise,0.00025759043637663126
affectnet7,80,Fear,0.00011635240662144497
affectnet7,80,Disgust,0.0006285004201345146
affectnet7,80,Angry,0.002845230745151639
affectnet7,81,Neutral,0.042039964348077774
affectnet7,81,Happy,0.949394941329956
affectnet7,81,Sad,0.004467732273042202
affectnet7,81,Surprise,0.0002713893773034215
affectnet7,81,Fear,0.00013363776088226587
affectnet7,81,Disgust,0.0006987798842601478
affectnet7,81,Angry,0.0029934837948530912
affectnet7,82,Neutral,0.04757744446396828
affectnet7,82,Happy,0.9402175545692444
affectnet7,82,Sad,0.0074441866017878056
affectnet7,82,Surprise,0.0004950250149704516
affectnet7,82,Fear,0.00030332879396155477
affectnet7,82,Disgust,0.0008310769917443395
affectnet7,82,Angry,0.003131320234388113
affectnet7,83,Neutral,0.05636833980679512
affectnet7,83,Happy,0.9245718717575073
affectnet7,83,Sad,0.012435121461749077
affectnet7,83,Surprise,0.000872327305842191
affectnet7,83,Fear,0.0006810427876189351
affectnet7,83,Disgust,0.0010912641882896423
affectnet7,83,Angry,0.003980086650699377
affectnet7,84,Neutral,0.05371197313070297
affectnet7,84,Happy,0.9278251528739929
affectnet7,84,Sad,0.01136495266109705
affectnet7,84,Surprise,0.0009308485896326602
affectnet7,84,Fear,0.0007457609171979129
affectnet7,84,Disgust,0.0011377934133633971
affectnet7,84,Angry,0.004283539485186338
affectnet7,85,Neutral,0.056069038808345795
affectnet7,85,Happy,0.9255553483963013
affectnet7,85,Sad,0.011630085296928883
affectnet7,85,Surprise,0.0008673341362737119
affectnet7,85,Fear,0.00070642598439008
affectnet7,85,Disgust,0.0012136870063841343
affectnet7,85,Angry,0.003958084620535374
affectnet7,86,Neutral,0.05962473154067993
affectnet7,86,Happy,0.9212028980255127
affectnet7,86,Sad,0.011899231933057308
affectnet7,86,Surprise,0.0008627555216662586
affectnet7,86,Fear,0.0007064619567245245
affectnet7,86,Disgust,0.0012793130008503795
affectnet7,86,Angry,0.004424546845257282
affectnet7,87,Neutral,0.05727384611964226
affectnet7,87,Happy,0.923237681388855
affectnet7,87,Sad,0.012541735544800758
affectnet7,87,Surprise,0.0008774529560469091
affectnet7,87,Fear,0.0007241431740112603
affectnet7,87,Disgust,0.0013822484761476517
affectnet7,87,Angry,0.003962735645473003
affectnet7,88,Neutral,0.0590294674038887
affectnet7,88,Happy,0.9196000099182129
affectnet7,88,Sad,0.013737594708800316
affectnet7,88,Surprise,0.0009246878908015788
affectnet7,88,Fear,0.0008009553421288729
affectnet7,88,Disgust,0.0013777663698419929
affectnet7,88,Angry,0.004529504105448723
affectnet7,89,Neutral,0.052260175347328186
affectnet7,89,Happy,0.9288458824157715
affectnet7,89,Sad,0.012152932584285736
affectnet7,89,Surprise,0.0008441109675914049
affectnet7,89,Fear,0.0007257424877025187
affectnet7,89,Disgust,0.0011748336255550385
affectnet7,89,Angry,0.003996385261416435
affectnet7,90,Neutral,0.0506603866815567
affectnet7,90,Happy,0.9300885200500488
affectnet7,90,Sad,0.012777409516274929
affectnet7,90,Surprise,0.0009834025986492634
affectnet7,90,Fear,0.0008329005795530975
affectnet7,90,Disgust,0.001226173946633935
affectnet7,90,Angry,0.003431265242397785
affectnet7,91,Neutral,0.05531458556652069
affectnet7,91,Happy,0.9239176511764526
affectnet7,91,Sad,0.013485416769981384
affectnet7,91,Surprise,0.001050771214067936
affectnet7,91,Fear,0.0009264485561288893
